Campaign,Campaign Type,Status,Budget,Bid Strategy Type,Networks,Location,Language,EU political ads,Ad Group,Max CPC,Keyword,Criterion Type,Ad Type,Headline 1,Headline 2,Headline 3,Headline 4,Headline 5,Headline 6,Headline 7,Headline 8,Headline 9,Headline 10,Headline 11,Headline 12,Headline 13,Headline 14,Headline 15,Description 1,Description 2,Description 3,Description 4,Final URL,Path 1,Path 2
QUANTUM - Diaspora Investors (Search),Search,,25,Maximize clicks,,United States,,no,,,,,,,,,,,,,,,,,,,,,,,,,,,
QUANTUM - Diaspora Investors (Search),Search,,25,Maximize clicks,,Canada,,no,,,,,,,,,,,,,,,,,,,,,,,,,,,
QUANTUM - Diaspora Investors (Search),Search,,25,Maximize clicks,,United Kingdom,,no,,,,,,,,,,,,,,,,,,,,,,,,,,,
QUANTUM - Diaspora Investors (Search),Search,,25,Maximize clicks,,Australia,,no,,,,,,,,,,,,,,,,,,,,,,,,,,,
QUANTUM - Diaspora Investors (Search),,,,,,,,,,,rent,Negative,,,,,,,,,,,,,,,,,,,,,,,
QUANTUM - Diaspora Investors (Search),,,,,,,,,,,rental,Negative,,,,,,,,,,,,,,,,,,,,,,,
QUANTUM - Diaspora Investors (Search),,,,,,,,,,,"for rent",Negative,,,,,,,,,,,,,,,,,,,,,,,
QUANTUM - Diaspora Investors (Search),,,,,,,,,,,jobs,Negative,,,,,,,,,,,,,,,,,,,,,,,
QUANTUM - Diaspora Investors (Search),,,,,,,,,,,salary,Negative,,,,,,,,,,,,,,,,,,,,,,,
QUANTUM - Diaspora Investors (Search),,,,,,,,,,,airbnb,Negative,,,,,,,,,,,,,,,,,,,,,,,
QUANTUM - Diaspora Investors (Search),,,,,,,,,,,hotel,Negative,,,,,,,,,,,,,,,,,,,,,,,
QUANTUM - Diaspora Investors (Search),,,,,,,,,,,free,Negative,,,,,,,,,,,,,,,,,,,,,,,
